Ticker,Description,Asset Class,Asset Subclass,,AC Module I/O,Desired Class,Sub Class,Notes
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Foreign Emerging Equity,Foreign Emerging Asia Equity,AAXJ,Intl Equity,Foreign Equity,,
ACWI,iShares MSCI All Country World Index Fund,Global Equity,Global Equity,ACWI,US Equity,Global Equity,,
ACWX,iShares MSCI ACWI ex US Index Fund,Global Equity,Global Foreign Equity,ACWX,Intl Equity,Foreign Equity,,
AGG,iShares Core Total U.S. Bond Market ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,AGG,Fixed Income,US Fixed Income,,
AMJ,Alerian MLP Index ETN,Alternative,Alternative U.S. MLP Equity,AMJ,US Equity,Alternative,,
AMLP,Alerian MLP ETF,Alternative,Alternative U.S. MLP Equity,AMLP,US Equity,Alternative,,
BAB,PowerShares Build America Bond Portfolio,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,BAB,Fixed Income,US Fixed Income,,
BBH,Market Vectors Biotech ETF,U.S. Equity,U.S. Healthcare Sector Equity ,BBH,US Equity,US Equity,,
BIL,SPDR Barclays 1-3 Month T-Bill ETF,U.S. Fixed Income,U.S. Government Bond Fixed Income,BIL,US Equity,US Fixed Income,,
BIV,Vanguard Intermediate-Term Bond ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BIV,Fixed Income,US Fixed Income,,
BKF,iShares MSCI BRIC Index Fund,Foreign Emerging Equity,Foreign Emerging BRIC Equity,BKF,Fixed Income,Foreign Equity,,
BKLN,PowerShares Senior Loan Portfolio,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BKLN,Alternative,US Fixed Income,,
BND,Vanguard Total Bond Market ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BND,Fixed Income,US Fixed Income,,
BOND,PIMCO Total Return Exchange-Traded Fund,U.S. Fixed Income,U.S. Total Bond Fixed Income,BOND,Alternative,US Fixed Income,,
BRF,Market Vectors Brazil Small-Cap ETF,Foreign Emerging Equity,Foreign Emerigng Brazil Small Cap Equity,BRF,US Equity,Foreign Equity,,
BSJF,BulletShares 2015 High Yield Corporate Bond ETF,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BSJF,US Equity,US Fixed Income,,
BSV,Vanguard Short-Term Bond ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BSV,Fixed Income,US Fixed Income,,
BWX,SPDR Barclays Intl Treasury Bond,Global Fixed Income,Global Government Bond Fixed Income ,BWX,Fixed Income,Foreign Fixed Income,,
BWZ,SPDR Short Term Intl Treasury Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
CEMB,ishares Emerging Market Corporate Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
CEW,WisdomTree Dreyfus Emerging Currency Fund,Alternative,Alternative Foreign Emerging Currency,CEW,Alternative,Alternative,,
CHIQ,Global X China Consumer ETF,Foreign Emerging Equity,Foreign Emerging China Equity ,CHIQ,Fixed Income,Foreign Equity,,
CVY,Gunggenheim Multi-Asset Income ETF,U.S. Equity,U.S. Large Cap Value Equity,CVY,US Equity,US Equity,,
CWB,SPDR Barclays Capital Convertible Bond ETF,U.S. Fixed Income,U.S. Convertible Bond Fixed Income,CWB,US Equity,Alternative,,
DBA,PowerShares DB Agriculture Fund,Alternative,Alternative Commodity Agriculture ,DBA,Alternative,Alternative,,
DBB,PowerShares DB Base Metals Fund,Alternative,Alternative Commodity Base Metals ,DBB,Fixed Income,Alternative,,
DBC,PowerShares DB Commodity Index Tracking Fund,Alternative,Alternative Commodity ,DBC,Alternative,Alternative,,
DBE,PowerShares DB Energy Fund,U.S. Equity,U.S. Energy Sector Equity ,DBE,Alternative,Alternative,,
DBJP,iShares MSCI Japan Hedged Equity Fund,Foreign Developed Equity,Foreign Developed Japan Leveraged Equity,DBJP,US Equity,Foreign Equity,,
DBO,PowerShares DB Oil Fund,Alternative,Alternative Commodity Oil ,DBO,Alternative,Alternative,,
DBV,PowerShares DB G10 Currency Harvest,Alternative,Alternative Global Developed Currency,DBV,Alternative,Alternative,,
DEM,WisdomTree Emerging Markets Equity Income Fund,Foreign Emerging Equity,Foreign Emerging Equity,DEM,Alternative,Foreign Equity,,
DFJ,WisdomTree Japan SmallCap Fund,Foreign Developed Equity,Foreign Developed Japan Small Cap Equity,DFJ,US Equity,Foreign Equity,,
DGS,WisdomTree Emerging Market SmallCap Fund,Foreign Emerging Equity,Foreign Emerging Small Cap Equity,DGS,Intl Equity,Foreign Equity,,
DGZ,PowerShares DB Gold Short ETN,Alternative,Alternative Commodity Precious Metals ,DGZ,Alternative,Alternative,,
DIA,SPDR Dow Jones Industrial Average ETF,U.S. Equity,U.S. Large Cap Value Equity,DIA,US Equity,US Equity,,
DJP,iPath Dow Jones-UBS Commodity Index TR ETN,Alternative,Alternative Commodity ,DJP,Alternative,Alternative,,
DLN,WisdomTree LargeCap Dividend Fund,U.S. Equity,U.S. Large Cap Value Equity,DLN,US Equity,US Equity,,
DOG,ProShares Short Dow30,U.S. Equity,U.S. Inverse Equity,DOG,Alternative,US Equity,,
DVY,Dow Jones Select Dividend Index Fund,U.S. Equity,U.S. Large Cap Value Equity,DVY,US Equity,US Equity,,
DWX,SPDR S&P International Dividend ETF,Foreign Developed Equity,Foreign Developed Large Cap Equity ,DWX,Intl Equity,Foreign Equity,,
DXJ,WisdomTree Japan Hedged Equity Fund,Foreign Developed Equity,Foreign Developed Japan Leveraged Equity,DXJ,Intl Equity,Foreign Equity,,
EBND,SPDR Emerging Market Local Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
ECH,iShares MSCI Chile Index Fund,Foreign Emerging Equity,Foreign Emerging Chile Equity,ECH,US Equity,Foreign Equity,,
ECON,EGShares Dow Jones Emerging Markets Consumer Titans Index Fund,Foreign Emerging Equity,Foreign Emerging Consumer Staples Sector Equity ,ECON,Alternative,Foreign Equity,,
EDIV,SPDR S&P Emerging Markets Dividend ETF,Foreign Emerging Equity,Foreign Emerging Equity,EDIV,Alternative,Foreign Equity,,
EEM,iShares MSCI Emerging Markets Index Fund,Foreign Emerging Equity,Foreign Emerging Equity,EEM,Alternative,Foreign Equity,,
EEMV,iShares MSCI Emerging Markets Minimum Volatility Index Fund,Foreign Emerging Equity,Foreign Emerging Equity,EEMV,Alternative,Foreign Equity,,
EFA,iShares MSCI EAFE Index Fund,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFA,Intl Equity,Foreign Equity,,
EFAV,iShares MSCI EAFE Minimum Volatility Index Fund,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFAV,Intl Equity,Foreign Equity,,
EFV,iShares MSCI Value Index Fund,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFV,Intl Equity,Foreign Equity,,
EFZ,Short iShares MSCI EAFE,U.S. Equity,U.S. Inverse Equity,EFZ,US Equity,Alternative,,
EIDO,iShares MSCI Indonesia Investable Market Index Fund,Foreign Emerging Equity,Foreign Emerging Indonesia Equity,EIDO,Alternative,Foreign Equity,,
ELD,WisdomTree Emerging Markets Local Debt Fund,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,ELD,Fixed Income,Foreign Fixed Income,,
EMB,JP Morgan Emerging Markets Bond Fund,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,EMB,Fixed Income,Foreign Fixed Income,,
EMCB,WisdomTree Emerging Market Corporate Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
EMLC,Market Vectors Emerging Markets Local Currency Bond ETF,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,EMLC,Alternative,Foreign Fixed Income,,
EMLP,First Trust North American Energy Infrastructure Fund,Alternative,Alternative U.S. MLP Equity,EMLP,US Equity,US Equity,,
EPHE,iShares MSCI Philippines Investable Market Index Fund,Foreign Emerging Equity,Foreign Emerging Philippine Equity,EPHE,Alternative,Foreign Equity,,
EPI,WisdomTree India Earnings Fund,Foreign Emerging Equity,Foreign Emerging India Equity,EPI,Fixed Income,Foreign Equity,,
EPOL,iShares MSCI Poland Investable Market Index Fund,Foreign Emerging Equity,Foreign Emerging Poland Equity,EPOL,Intl Equity,Foreign Equity,,
EPP,iShares MSCI Pacific Ex-Japan Index Fund,Foreign Emerging Equity,Foreign Emerging Pacific ex-Japan Equity,EPP,Alternative,Foreign Equity,,
EPU,iShares MSCI All Peru Capped Index Fund,Foreign Emerging Equity,Foreign Emerging Peru Equity,EPU,Alternative,Foreign Equity,,
ERUS,iShares MSCI Russia Capped Index Fund,Foreign Emerging Equity,Foreign Emerging Russia Equity,ERUS,Alternative,Foreign Equity,,
EUM,ProShares Short iShares MSCI Emerging Markets,Foreign Emerging Equity,Foreign Emerging Inverse Equity,EUM,Alternative,Alternative,,
EWA,iShares MSCI Australia Index Fund,Foreign Developed Equity,Foreign Developed Australia Equity ,EWA,Alternative,Foreign Equity,,
EWC,iShares MSCI Canada Index Fund,Foreign Developed Equity,Foreign Developed Canada Equity,EWC,Intl Equity,Foreign Equity,,
EWD,iShares MSCI Sweden Index Fund,Foreign Developed Equity,Foreign Developed Sweden Equity,EWD,Intl Equity,Foreign Equity,,
EWG,iShares MSCI Germany Index Fund,Foreign Developed Equity,Foreign Developed Germany Equity,EWG,Intl Equity,Foreign Equity,,
EWH,iShares MSCI Hong Kong Index Fund,Foreign Developed Equity,Foreign Developed Hong Kong Equity,EWH,Alternative,Foreign Equity,,
EWI,iShares MSCI Italy Index Fund,Foreign Developed Equity,Foreign Developed Italy Equity,EWI,Alternative,Foreign Equity,,
EWJ,iShares MSCI Japan Index Fund,Foreign Developed Equity,Foreign Developed Japan Equity,EWJ,Intl Equity,Foreign Equity,,
EWL,iShares MSCI Switzerland Index Fund,Foreign Developed Equity,Foreign Developed Switzerland Equity,EWL,US Equity,Foreign Equity,,
EWM,iShares MSCI Malaysia Index Fund,Foreign Emerging Equity,Foreign Emerging Malaysia Equity,EWM,Alternative,Foreign Equity,,
EWN,iShares MSCI Netherlands Index Fund,Foreign Developed Equity,Foreign Developed Nethrlands Equity ,EWN,Intl Equity,Foreign Equity,,
EWP,iShares MSCI Spain Index Fund,Foreign Developed Equity,Foreign Developed Spain Equity ,EWP,Intl Equity,Foreign Equity,,
EWQ,iShares MSCI France Index Fund,Foreign Developed Equity,Foreign Developed France Equity,EWQ,Intl Equity,Foreign Equity,,
EWS,iShares MSCI Singapore Index Fund,Foreign Developed Equity,Foreign Developed Singapore Equity,EWS,Alternative,Foreign Equity,,
EWT,iShares MSCI Taiwan Index Fund,Foreign Developed Equity,Foreign Developed Taiwan Equity,EWT,Intl Equity,Foreign Equity,,
EWU,iShares MSCI United Kingdom Index Fund,Foreign Developed Equity,Foreign Developed United Kingdom Equity,EWU,US Equity,Foreign Equity,,
EWW,iShares MSCI Mexico Index Fund,Foreign Emerging Equity,Foreign Emerging Mexico Equity,EWW,Alternative,Foreign Equity,,
EWX,SPDR S&P Emerging Markets Small Cap ETF,Foreign Emerging Equity,Foreign Emerging Small Cap Equity,EWX,Intl Equity,Foreign Equity,,
EWY,iShares MSCI South Korea Index Fund,Foreign Developed Equity,Foreign Developed South Korea Equity,EWY,Intl Equity,Foreign Equity,,
EWZ,iShares MSCI Brazil Capped ETF,Foreign Emerging Equity,Foreign Emerging Brazil Equity,EWZ,Fixed Income,Foreign Equity,,
EZA,iShares MSCI South Africa Index Fund,Foreign Emerging Equity,Foreign Emerging South Africa Equity,EZA,Alternative,Foreign Equity,,
EZU,iShares MSCI EMU Index Fund,Foreign Developed Equity,Foreign Developed Europe Equity,EZU,Intl Equity,Foreign Equity,,
FCG,First Trust ISE-Revere Natural Gas Index Fund,Alternative,Alternative U.S. Materials Sector Natural Gas Equity ,FCG,Alternative,Alternative,,
FDL,First Trust Morningstar Dividend Leaders Index Fund,U.S. Equity,U.S. Large Cap Value Equity,FDL,US Equity,US Equity,,
FDN,First Trust DJ Internet Index Fund,U.S. Equity,U.S. Technology Sector Equity ,FDN,US Equity,US Equity,,
FEM,First Trust Emerging Markets AlphaDEX Fund,Foreign Emerging Equity,Foreign Emerging Equity,FEM,Intl Equity,Foreign Equity,,
FEZ,SPDR Euro STOXX 50 ETF,Foreign Developed Equity,Foreign Developed Europe Equity ,FEZ,Intl Equity,Foreign Equity,,
FM,iShares MSCI Frontier 100 Index Fund,Foreign Emerging Equity,Foreign Emerging Equity,FM,US Equity,Foreign Equity,,
FRI,First Trust S&P REIT Index Fund,Alternative,Alternative U.S. Real Estate Equity ,FRI,Alternative,Alternative,,
FVD,First Trust Value Line Dividend Index Fund,U.S. Equity,U.S. Large Cap Value Equity,FVD,US Equity,US Equity,,
FXA,CurrencyShares Australian Dollar Trust,Alternative,Alternative Foreign Developed Australian Currency,FXA,Alternative,Alternative,,
FXD,First Trust Consumer Discretionary AlphaDEX Fund,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,FXD,US Equity,US Equity,,
FXE,CurrencyShares Euro Currency Trust,Alternative,Alternative Foreign Developed Europe Currency ,FXE,Alternative,Alternative,,
FXG,First Trust Consumer Staples AlphaDEX Fund,U.S. Equity,U.S. Consumer Staples Sector Equity ,FXG,US Equity,US Equity,,
FXH,First Trust Health Care AlphaDEX,U.S. Equity,U.S. Healthcare Sector Equity ,FXH,US Equity,US Equity,,
FXI,FTSE China 25 Index Fund,Foreign Emerging Equity,Foreign Emerging China Equity,FXI,Fixed Income,Foreign Equity,,
FXO,First Trust Financials AlphaDEX Fund,U.S. Equity,U.S. Financial Sector Equity,FXO,US Equity,US Equity,,
FXY,CurrencyShares Japanese Yen Trust,Alternative,Alternative Foreign Developed Japan Currency ,FXY,US Equity,Alternative,,
GCC,GreenHaven Continuous Commodity Index Fund,Alternative,Alternative Commodity ,GCC,Alternative,Alternative,,
GDX,Market Vectors TR Gold Miners,Alternative,Alternative Commodity Precious Metals ,GDX,US Equity,Global Equity,,
GDXJ,Market Vectors Junior Gold Miners ETF,Alternative,Alternative Commodity Precious Metals ,GDXJ,US Equity,Global Equity,,
GLD,SPDR Gold Trust,Alternative,Alternative Commodity Precious Metals ,GLD,Alternative,Alternative,,
GNR,SPDR S&P Global Natural Resources ETF,Global Equity,Global Materials Sector Equity,GNR,Alternative,Global Equity,,
GOVT,iShares Barclays U.S. Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,GOVT,Fixed Income,US Fixed Income,,
GREK,Global X FTSE Greece 20 ETF,Foreign Emerging Equity,Foreign Emerging Greece Equity,GREK,Intl Equity,Foreign Equity,,
GSG,iShares GSCI Commodity-Indexed Trust Fund,Alternative,Alternative Commodity ,GSG,Alternative,Alternative,,
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund ,Global Equity,Global Materials Sector Equity,GUNR,Alternative,Global Equity,,
GWL,SPDR S&P World ex-US ETF,Global Equity,Global Foreign Equity,GWL,Intl Equity,Foreign Equity,,
GWX,SPDR S&P International SmallCap ETF,Foreign Developed Equity,Foreign Developed Small & Mid Cap Equity,GWX,Intl Equity,Foreign Equity,,
GXC,SPDR S&P China ETF,Foreign Emerging Equity,Foreign Emerging China Equity,GXC,Intl Equity,Foreign Equity,,
GXG,Global X InterBolsa FTSE Colombia 20 ETF,Foreign Emerging Equity,Foreign Emerging Colombia Equity,GXG,Fixed Income,Foreign Equity,,
HAO,Guggenheim China Small Cap ETF ,Foreign Emerging Equity,Foreign Emerging China Small Cap Equity,HAO,Alternative,Foreign Equity,,
HDGE,Ranger Active Bear ETF,U.S. Equity,U.S. Inverse Equity,HDGE,US Equity,Alternative,,
HDV,iShares High Dividend Equity Fund,U.S. Equity,U.S. Large Cap Value Equity,HDV,US Equity,US Equity,,
HEDJ,WisdomTree Europe Hedged Equity Fund ,Foreign Developed Equity,Foreign Developed Europe Leveraged Equity,HEDJ,Intl Equity,Foreign Equity,,
HYD,Market Vectors High Yield Municipal Index ETF,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,HYD,Fixed Income,US Fixed Income,,
HYEM,Market Vectors Emerging Markets High Yield Bond ETF,Foreign Fixed Income,Foreign Emerging High Yield Bond Fixed Income ,HYEM,Alternative,Foreign Fixed Income,,
HYG,iBoxx $ High Yield Corporate Bond Fund,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,HYG,Alternative,US Fixed Income,,
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Fund,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,HYS,US Equity,US Fixed Income,,
IAU,COMEX Gold Trust,Alternative,Alternative Commodity Precious Metals ,IAU,Alternative,Alternative,,
IBB,iShares Nasdaq Biotechnology,U.S. Equity,U.S. Healthcare Sector Equity ,IBB,US Equity,US Equity,,
ICF,iShares Cohen & Steers Realty Major,Alternative,Alternative U.S. Real Estate Equity ,ICF,Alternative,Alternative,,
IDV,iShares Dow Jones EPAC Select Dividend,Foreign Developed Equity,Foreign Developed Large Cap Equity ,IDV,Intl Equity,Foreign Equity,,
IDX,Market Vectors Indonesia Index ETF,Foreign Emerging Equity,Foreign Emerging Indonesia Equity,IDX,Alternative,Foreign Equity,,
IEF,Barclays 7-10 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,IEF,Fixed Income,US Fixed Income,,
IEFA,Core iShares MSCI EAFE ETF,Foreign Developed Equity,Foreign Developed Large Cap Equity ,IEFA,Intl Equity,Foreign Equity,,
IEI,iShares Barclays 3-7 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,IEI,Fixed Income,US Fixed Income,,
IEMG,Core iShares MSCI Emerging Markets ETF,Foreign Emerging Equity,Foreign Emerging Equity,IEMG,Fixed Income,Foreign Equity,,
IEO,iShares Dow Jones U.S. Oil & Gas Exploration & Production Index Fund,U.S. Equity,U.S. Energy Sector Equity ,IEO,US Equity,US Equity,,
IEV,iShares S&P Europe 350 Index Fund,Foreign Developed Equity,Foreign Developed Europe Equity,IEV,Intl Equity,Foreign Equity,,
IEZ,iShares Dow Jones U.S. Oil Equipment & Services Index Fund,U.S. Equity,U.S. Energy Sector Equity ,IEZ,Intl Equity,US Equity,,
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,Global Equity,Global Foreign Real Estate Equity,IFGL,Alternative,Alternative,,
IGE,iShares S&P North American Natural Resources Sector Index Fund,Global Equity,Global North American Materials Sector Equity,IGE,Intl Equity,Global Equity,,
IGF,iShares S&P Global Infrastructure,Global Equity,Global Infrastruture Equity,IGF,US Equity,Global Equity,,
IGN,iShares S&P North American Technology-Multimedia Networking Index Fund,U.S. Equity,U.S. Technology Sector Equity ,IGN,Intl Equity,US Equity,,
IJH,iShares Core S&P Mid-Cap ETF,U.S. Equity,U.S. Mid Cap Core Equity ,IJH,US Equity,US Equity,,
IJJ,iShares S&P MidCap 400 Value Index Fund,U.S. Equity,U.S. Mid Cap Value Equity ,IJJ,US Equity,US Equity,,
IJK,iShares S&P MidCap 400 Growth Index Fund,U.S. Equity,U.S. Mid Cap Growth Equity,IJK,US Equity,US Equity,,
IJR,iShares Core S&P Small-Cap ETF,U.S. Equity,U.S. Small Cap Blend Equity,IJR,US Equity,US Equity,,
IJS,iShares S&P SmallCap 600 Value Index Fund,U.S. Equity,U.S. Small Cap Value Equity,IJS,US Equity,US Equity,,
IJT,iShares S&P SmallCap 600 Growth Index Fund,U.S. Equity,U.S. Small Cap Growth Equity ,IJT,US Equity,US Equity,,
ILF,iShares Latin America 40 Index Fund,Foreign Emerging Equity,Foreign Emerging Latin America Equity,ILF,US Equity,Foreign Equity,,
INDA,iShares MSCI India Index Fund,Foreign Emerging Equity,Foreign Emerging India Equity,INDA,Alternative,Foreign Equity,,
INDY,iShares S&P India Nifty Fifty Index Fund,Foreign Emerging Equity,Foreign Emerging India Equity,INDY,Fixed Income,Foreign Equity,,
ITB,iShares Dow Jones U.S. Home Construction Index Fund,Alternative,Alternative U.S. Homebuilding Equity ,ITB,US Equity,US Equity,,
ITM,Market Vectors-Intermediate Municipal Index ETF,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,ITM,Fixed Income,US Fixed Income,,
ITOT,iShares Core S&P Total U.S. Stock Market ETF,U.S. Equity,U.S. All Cap Equity,ITOT,US Equity,US Equity,,
IVE,iShares S&P 500 Value Index Fund,U.S. Equity,U.S. Large Cap Value Equity,IVE,US Equity,US Equity,,
IVV,iShares Core S&P 500 ETF,U.S. Equity,U.S. Large Cap Blend Equity,IVV,US Equity,US Equity,,
IVW,iShares S&P 500 Growth Index Fund,U.S. Equity,U.S. Large Cap Growth Equity,IVW,US Equity,US Equity,,
